Full Product Name,Model,Brand,Brief Naming,Size,Resolution,Response Time,Refresh Rate,Compatible Ports,Warranty
Dell UltraSharp 27 Monitor - U2724D,U2724D,DELL,Dell UltraSharp Series LED Monitor,"27""",2560 x 1440 QHD,8.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell UltraSharp 32 4K Thunderbolt Hub Monitor - U3225QE,U3225QE,DELL,Dell UltraSharp Series LED Monitor,"32""",3840 x 2160 4K UHD,,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Alienware 27 4K QD-OLED Gaming Monitor - AW2725Q,AW2725Q,DELL,Dell Alienware Series LED Monitor,"27""",2560 x 1440 QHD,,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Alienware 25 320Hz Gaming Monitor - AW2525HM,AW2525HM,DELL,Dell Alienware Series LED Monitor,"25""",1920 x 1080 FHD,1.0ms,320Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro 22 Monitor - E2225HM,E2225HM,DELL,DELL E Series LED Monitor,"22""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, VGA, Thunderbolt",3 Years
Dell 27 Plus Monitor - S2725HSM​,S2725HS,DELL,DELL S Series LED Monitor,"27""",,1.0ms,144Hz,"HDMI, USB-C, Thunderbolt",3 Years
Dell Pro 27 Plus QHD Monitor - P2725D,P2725D,DELL,DELL Pro Series LED Monitor,"27""",2560 x 1440 QHD,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 34 Plus USB-C Hub Monitor - P3425WE,P3425WE,DELL,DELL Pro Series LED Monitor,"34""",,5.0ms,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 27 Plus 4K USB-C Hub Monitor - P2725QE,P2725QE,DELL,DELL Pro Series LED Monitor,"27""",3840 x 2160 4K UHD,8.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 22 Adjustable Stand Monitor - E2225HSM,E2225HS,DELL,DELL E Series LED Monitor,"22""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, VGA, Thunderbolt",3 Years
