Model,Brand,Product Class,Brief Naming,Size,Resolution,Response Time,Refresh Rate,Compatible Ports,Warranty
N/A,DELL,,Dell UltraSharp 38 Curved USB-C Hub Monitor - U3824DW,"24.0""",3840 x 1600 WUHD,5.0ms,N/A,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
N/A,DELL,,Dell 24 Plus Monitor - S2425HSM,N/A,N/A,1.0ms,144Hz,"HDMI, USB-C, Thunderbolt",3 Years
SE2426HG,DELL,Special Edition,Dell 24 240Hz Adjustable Stand Monitor - SE2426HGS,"24""",FHD (1080p),0.5ms,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell Pro 27 Adjustable Stand Monitor - E2726HS​,"20.0""",N/A,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, VGA, Thunderbolt",3 Years
N/A,DELL,,Dell UltraSharp 43 4K USB-C Hub Monitor - U4323QE,"24.0""",3840 x 2160 4K UHD,5.0ms,N/A,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
AW2725QF,DELL,Alienware,Alienware 27 4K Dual-Resolution Gaming Monitor - AW2725QF,"27""",QHD (1440p/2K),0.5ms,180Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell Pro P 24 USB-C Hub Monitor - P2426HE,"22.0""",N/A,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
N/A,DELL,,Dell UltraSharp 49 Curved USB-C Hub Monitor - U4924DW,"24.0""",5120 x 1440 5K2K,N/A,N/A,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell Pro P 27 USB-C Hub Monitor - P2726HE,"22.0""",N/A,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
AW2726DM,DELL,Alienware,Alienware 27 240Hz QD-OLED Gaming Monitor - AW2726DM,"27""",QHD (1440p/2K),N/A,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell UltraSharp 52 Thunderbolt Hub Monitor - U5226KW,"24.0""",N/A,N/A,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
SE2725HM,DELL,Special Edition,Dell 27 Monitor - SE2725HM,"27""",FHD (1080p),5.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt",3 Years
N/A,DELL,,Dell Pro 27 Plus Monitor - P2725H,N/A,1920 x 1080 FHD,5.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt, Ethernet",3 Years
N/A,DELL,,Dell Pro 24 Plus USB-C Hub Monitor - P2425HE,N/A,1920 x 1200 WUXGA,5.0ms,100Hz,"HDMI, USB-C, Thunderbolt, Ethernet",3 Years
AW3425DW,DELL,Alienware,Alienware 34 Gaming Monitor - AW3425DWM,"34""",QHD (1440p/2K),1.0ms,180Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell Pro 24 Plus 16:10 Monitor - P2425,N/A,1920 x 1200 WUXGA,5.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt, Ethernet",3 Years
N/A,DELL,,Dell Pro 24 Plus 16:10 USB-C Hub Monitor - P2425E,N/A,1920 x 1200 WUXGA,5.0ms,100Hz,"HDMI, USB-C, Thunderbolt, Ethernet",3 Years
N/A,DELL,,Dell UltraSharp 32 6K Monitor - U3224KB,N/A,3840 x 2160 4K UHD,N/A,N/A,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
